Entry_Time,Entry_Price,Result,Hold_Min,Exit_Time,WaterCnt,Profit,Water1,Water2,Water3,Water4
2025-03-28 03:49:00+00:00,86817.18,OPEN,5530,,4,0.0,2025-03-28 05:38:00+00:00,2025-03-28 11:14:00+00:00,2025-03-28 17:11:00+00:00,2025-03-29 11:31:00+00:00
2025-03-28 03:50:00+00:00,86799.54,OPEN,5529,,4,0.0,2025-03-28 05:38:00+00:00,2025-03-28 11:14:00+00:00,2025-03-29 09:44:00+00:00,2025-03-29 11:32:00+00:00
2025-03-28 03:51:00+00:00,86800.19,OPEN,5528,,4,0.0,2025-03-28 05:38:00+00:00,2025-03-28 11:14:00+00:00,2025-03-29 09:44:00+00:00,2025-03-29 11:32:00+00:00
2025-03-28 03:52:00+00:00,86800.18,OPEN,5527,,4,0.0,2025-03-28 05:38:00+00:00,2025-03-28 11:14:00+00:00,2025-03-29 09:44:00+00:00,2025-03-29 11:32:00+00:00
2025-03-28 03:53:00+00:00,86800.17,OPEN,5526,,4,0.0,2025-03-28 05:38:00+00:00,2025-03-28 11:14:00+00:00,2025-03-29 09:44:00+00:00,2025-03-29 11:32:00+00:00
2025-03-28 03:54:00+00:00,86800.18,OPEN,5525,,4,0.0,2025-03-28 05:38:00+00:00,2025-03-28 11:14:00+00:00,2025-03-29 09:44:00+00:00,2025-03-29 11:32:00+00:00
2025-03-28 03:55:00+00:00,86790.82,OPEN,5524,,4,0.0,2025-03-28 05:38:00+00:00,2025-03-28 14:06:00+00:00,2025-03-29 09:44:00+00:00,2025-03-29 11:33:00+00:00
2025-03-28 03:56:00+00:00,86844.68,OPEN,5523,,4,0.0,2025-03-28 05:29:00+00:00,2025-03-28 11:13:00+00:00,2025-03-28 17:11:00+00:00,2025-03-29 11:31:00+00:00
2025-03-28 03:57:00+00:00,86839.66,OPEN,5522,,4,0.0,2025-03-28 05:38:00+00:00,2025-03-28 11:13:00+00:00,2025-03-28 17:11:00+00:00,2025-03-29 11:31:00+00:00
2025-03-28 03:58:00+00:00,86804.13,OPEN,5521,,4,0.0,2025-03-28 05:38:00+00:00,2025-03-28 11:14:00+00:00,2025-03-29 09:44:00+00:00,2025-03-29 11:32:00+00:00
2025-03-28 03:59:00+00:00,86787.16,OPEN,5520,,4,0.0,2025-03-28 05:38:00+00:00,2025-03-28 14:06:00+00:00,2025-03-29 09:44:00+00:00,2025-03-29 11:33:00+00:00
