timestamp,open,high,low,close,volume,close_timestamp,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date
1746057600000000,94172.0,94177.96,94130.43,94147.3,6.47436,1746057659999999,609602.1018434,2480,3.84582,362102.3681371,0,2025-05-01 00:00:00+00:00
1746057660000000,94147.31,94190.47,94147.3,94187.02,3.97781,1746057719999999,374634.2472772,1699,3.30124,310910.7379536,0,2025-05-01 00:01:00+00:00
1746057720000000,94187.01,94198.77,94187.01,94198.75,2.24103,1746057779999999,211095.0823408,876,0.70811,66699.5794807,0,2025-05-01 00:02:00+00:00
1746057780000000,94198.75,94198.76,94169.45,94169.45,3.31848,1746057839999999,312557.9003665,1295,0.23507,22141.2916388,0,2025-05-01 00:03:00+00:00
1746057840000000,94169.46,94238.1,94156.73,94238.09,7.51438,1746057899999999,707738.6256841,2681,5.574,525013.0021132,0,2025-05-01 00:04:00+00:00
1746057900000000,94238.09,94278.12,94221.4,94221.4,17.57883,1746057959999999,1657050.1998074,2706,12.86127,1212419.5274216,0,2025-05-01 00:05:00+00:00
1746057960000000,94221.4,94248.49,94221.4,94231.71,6.25077,1746058019999999,589043.333311,1853,1.11897,105439.283997,0,2025-05-01 00:06:00+00:00
1746058020000000,94231.71,94255.08,94181.43,94248.0,10.17593,1746058079999999,958742.5188217,4216,5.57002,524786.1492716,0,2025-05-01 00:07:00+00:00
1746058080000000,94248.0,94285.72,94240.16,94285.71,12.36579,1746058139999999,1165515.1898782,2324,8.93663,842301.2525678,0,2025-05-01 00:08:00+00:00
1746058140000000,94285.71,94304.0,94285.71,94303.99,3.65784,1746058199999999,344918.1107783,1209,2.25845,212963.3143239,0,2025-05-01 00:09:00+00:00
1746058200000000,94303.99,94331.05,94303.99,94331.04,2.25848,1746058259999999,213001.6849075,1063,1.39462,131521.9004155,0,2025-05-01 00:10:00+00:00
1746058260000000,94331.04,94344.91,94320.44,94344.91,17.25981,1746058319999999,1628057.7837426,1583,15.32478,1445525.820169,0,2025-05-01 00:11:00+00:00
