timestamp,open,high,low,close,volume,close_timestamp,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date
1743465600000000,82550.0,82555.8,82490.76,82497.84,22.44303,1743465659999999,1852355.5125737,2724,4.35398,359267.6840238,0,2025-04-01 00:00:00+00:00
1743465660000000,82497.84,82514.95,82486.4,82514.95,3.94631,1743465719999999,325575.8789612,986,2.20384,181808.2875393,0,2025-04-01 00:01:00+00:00
1743465720000000,82514.94,82552.25,82500.0,82514.51,11.87255,1743465779999999,979823.9449867,1539,3.26058,269068.7834522,0,2025-04-01 00:02:00+00:00
1743465780000000,82514.51,82580.0,82514.51,82580.0,4.91631,1743465839999999,405846.4201335,1061,4.03301,332932.0469325,0,2025-04-01 00:03:00+00:00
1743465840000000,82580.0,82617.15,82579.99,82617.15,5.51612,1743465899999999,455632.8975812,1004,5.11241,422285.3127979,0,2025-04-01 00:04:00+00:00
1743465900000000,82617.15,82645.42,82612.0,82612.01,8.63378,1743465959999999,713430.1330257,2027,5.47573,452461.5212788,0,2025-04-01 00:05:00+00:00
1743465960000000,82612.01,82662.18,82612.0,82654.58,5.64907,1743466019999999,466898.3355515,1364,4.04879,334628.0585415,0,2025-04-01 00:06:00+00:00
1743466020000000,82654.59,82673.87,82613.48,82673.87,7.70505,1743466079999999,636772.278796,2404,5.63013,465298.5808818,0,2025-04-01 00:07:00+00:00
1743466080000000,82673.87,82712.54,82659.14,82676.76,9.46814,1743466139999999,782947.019926,2446,3.62466,299738.7840766,0,2025-04-01 00:08:00+00:00
1743466140000000,82676.76,82680.72,82660.0,82660.01,5.4848,1743466199999999,453448.4474209,1463,2.52052,208373.5702303,0,2025-04-01 00:09:00+00:00
1743466200000000,82660.01,82660.01,82604.68,82614.34,4.49222,1743466259999999,371176.4821162,1691,1.86418,154008.6021627,0,2025-04-01 00:10:00+00:00
1743466260000000,82614.35,82628.88,82614.34,82620.61,6.78811,1743466319999999,560839.6264542,854,4.31472,356476.5515206,0,2025-04-01 00:11:00+00:00
1743466320000000,82620.62,82620.62,82484.78,82484.79,5.78028,1743466379999999,477180.5490459,3531,0.75973,62717.3223991,0,2025-04-01 00:12:00+00:00
