timestamp,open,high,low,close,volume,close_timestamp,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date
1748736000000000,104591.88,104647.11,104591.88,104647.11,10.71688,1748736059999999,1121053.1905146,1136,9.99825,1045871.1727252,0,2025-06-01 00:00:00+00:00
1748736060000000,104647.1,104647.11,104586.63,104600.77,7.66093,1748736119999999,801527.8444074,1720,0.7469,78126.095169,0,2025-06-01 00:01:00+00:00
1748736120000000,104600.77,104600.77,104537.73,104584.9,14.36089,1748736179999999,1501708.1741527,2082,2.03803,213091.2131899,0,2025-06-01 00:02:00+00:00
1748736180000000,104584.9,104605.6,104571.9,104571.9,5.73848,1748736239999999,600178.1757424,1699,1.60349,167711.8502398,0,2025-06-01 00:03:00+00:00
1748736240000000,104571.91,104571.91,104530.42,104530.43,5.93259,1748736299999999,620261.1554578,1514,0.50001,52276.2178226,0,2025-06-01 00:04:00+00:00
1748736300000000,104530.43,104559.56,104530.42,104555.93,4.76396,1748736359999999,498029.5692855,1538,3.81598,398915.7124737,0,2025-06-01 00:05:00+00:00
1748736360000000,104555.93,104559.56,104552.29,104552.29,3.63087,1748736419999999,379632.3910546,777,2.25941,236237.9209423,0,2025-06-01 00:06:00+00:00
1748736420000000,104552.29,104552.29,104527.69,104527.7,4.47083,1748736479999999,467364.8368363,1465,0.82774,86525.657873,0,2025-06-01 00:07:00+00:00
1748736480000000,104527.69,104535.84,104509.21,104524.05,8.5074,1748736539999999,889220.234385,1888,2.63802,275739.8054466,0,2025-06-01 00:08:00+00:00
1748736540000000,104524.05,104535.84,104524.05,104535.84,1.23023,1748736599999999,128593.9178085,572,0.85029,88880.444263,0,2025-06-01 00:09:00+00:00
1748736600000000,104535.84,104536.59,104525.11,104525.12,3.28501,1748736659999999,343395.1519146,683,0.6758,70643.3166126,0,2025-06-01 00:10:00+00:00
1748736660000000,104525.11,104525.12,104506.11,104510.94,7.06215,1748736719999999,738086.7103506,1335,3.38748,354029.4437672,0,2025-06-01 00:11:00+00:00
1748736720000000,104510.94,104520.27,104510.13,104510.14,2.90888,1748736779999999,304027.3258468,435,0.51901,54244.0545927,0,2025-06-01 00:12:00+00:00
1748736780000000,104510.13,104510.13,104454.41,104475.04,9.24726,1748736839999999,966229.0041861,2387,1.98883,207762.8799039,0,2025-06-01 00:13:00+00:00
1748736840000000,104475.03,104475.04,104462.55,104473.01,1.69669,1748736899999999,177251.8522822,690,1.12638,117671.3443106,0,2025-06-01 00:14:00+00:00
1748736900000000,104473.01,104487.81,104414.88,104429.12,8.2378,1748736959999999,860550.9630548,2817,2.4307,253934.5646197,0,2025-06-01 00:15:00+00:00
1748736960000000,104429.12,104449.18,104419.11,104449.18,6.2508,1748737019999999,652803.8190656,1283,3.93322,410777.4862014,0,2025-06-01 00:16:00+00:00
1748737020000000,104449.18,104457.13,104404.75,104439.01,10.80775,1748737079999999,1128694.0074016,2192,2.7842,290734.0204433,0,2025-06-01 00:17:00+00:00
1748737080000000,104439.01,104461.74,104396.22,104413.62,11.65008,1748737139999999,1216534.1718998,2819,3.72511,389024.7093671,0,2025-06-01 00:18:00+00:00
1748737140000000,104413.62,104462.18,104413.61,104462.18,5.17749,1748737199999999,540730.791134,2304,4.51643,471695.7331031,0,2025-06-01 00:19:00+00:00
1748737200000000,104462.17,104490.57,104462.17,104490.55,3.58193,1748737259999999,374247.3620792,2021,2.66258,278185.0932699,0,2025-06-01 00:20:00+00:00
1748737260000000,104490.56,104490.57,104490.55,104490.57,1.57744,1748737319999999,164827.5915918,238,1.07082,111890.5862701,0,2025-06-01 00:21:00+00:00
1748737320000000,104490.57,104490.57,104461.47,104461.47,3.30593,1748737379999999,345401.9237155,1038,0.19335,20202.3113994,0,2025-06-01 00:22:00+00:00
1748737380000000,104461.48,104461.48,104374.79,104386.17,7.09031,1748737439999999,740317.8264756,2396,1.22544,127920.4491029,0,2025-06-01 00:23:00+00:00
1748737440000000,104386.17,104474.11,104386.16,104433.71,6.98317,1748737499999999,729223.6167292,4854,4.92832,514650.5145127,0,2025-06-01 00:24:00+00:00
1748737500000000,104433.7,104453.82,104396.22,104396.23,5.37994,1748737559999999,561826.6232257,1952,1.98447,207254.5053578,0,2025-06-01 00:25:00+00:00
1748737560000000,104396.22,104419.8,104396.22,104398.58,3.0182,1748737619999999,315126.140002,1151,1.51078,157734.3914951,0,2025-06-01 00:26:00+00:00
1748737620000000,104398.58,104457.71,104398.58,104435.13,13.77306,1748737679999999,1438347.70878,1417,10.84552,1132612.7087112,0,2025-06-01 00:27:00+00:00
1748737680000000,104435.12,104435.13,104381.24,104381.25,3.51441,1748737739999999,366937.2174291,1347,0.42461,44338.5386178,0,2025-06-01 00:28:00+00:00
1748737740000000,104381.25,104404.35,104370.26,104380.96,5.25828,1748737799999999,548916.3584084,2352,2.15312,224767.0384148,0,2025-06-01 00:29:00+00:00
