time,price
2024-12-31 14:33:00+00:00,96227.99
2024-12-31 14:44:00+00:00,95755.99
2024-12-31 14:46:00+00:00,95878.98
2024-12-31 14:47:00+00:00,95836.45
2024-12-31 14:48:00+00:00,95836.82
2024-12-31 14:49:00+00:00,95750.0
2024-12-31 15:01:00+00:00,95776.12
2024-12-31 15:38:00+00:00,95829.48
2024-12-31 15:39:00+00:00,95967.2
2024-12-31 15:40:00+00:00,95927.48
2024-12-31 15:41:00+00:00,95827.69
2024-12-31 15:42:00+00:00,95789.03
2024-12-31 15:43:00+00:00,95803.41
2024-12-31 15:44:00+00:00,95732.22
2024-12-31 15:45:00+00:00,95692.36
2024-12-31 15:46:00+00:00,95584.18
2024-12-31 15:47:00+00:00,95496.64
2024-12-31 15:48:00+00:00,95485.29
2024-12-31 15:49:00+00:00,95421.93
2024-12-31 15:50:00+00:00,95327.78
2024-12-31 15:51:00+00:00,95412.0
2024-12-31 15:52:00+00:00,95454.54
2024-12-31 15:53:00+00:00,95450.89
2024-12-31 15:54:00+00:00,95493.79
2024-12-31 15:55:00+00:00,95461.6
2024-12-31 15:56:00+00:00,95500.52
2024-12-31 15:57:00+00:00,95518.18
2024-12-31 15:58:00+00:00,95436.0
2024-12-31 15:59:00+00:00,95412.0
2024-12-31 16:00:00+00:00,95308.01
2024-12-31 16:01:00+00:00,95361.49
2024-12-31 16:02:00+00:00,95352.26
2024-12-31 16:07:00+00:00,95348.27
2024-12-31 16:08:00+00:00,95390.49
2024-12-31 16:09:00+00:00,95488.07
2024-12-31 16:10:00+00:00,95514.59
2024-12-31 16:11:00+00:00,95508.65
2024-12-31 16:12:00+00:00,95528.0
2024-12-31 16:13:00+00:00,95512.57
2024-12-31 16:14:00+00:00,95480.8
2024-12-31 16:15:00+00:00,95436.97
2024-12-31 16:16:00+00:00,95441.76
2024-12-31 16:17:00+00:00,95343.43
2024-12-31 16:18:00+00:00,95252.01
2024-12-31 16:19:00+00:00,95216.19
2024-12-31 16:20:00+00:00,95211.48
2024-12-31 16:21:00+00:00,95267.9
2024-12-31 16:22:00+00:00,95116.24
2024-12-31 16:23:00+00:00,95149.27
2024-12-31 16:24:00+00:00,95147.73
2024-12-31 16:25:00+00:00,95042.81
2024-12-31 16:26:00+00:00,95077.33
2024-12-31 16:27:00+00:00,94964.01
2024-12-31 16:28:00+00:00,94994.3
2024-12-31 16:29:00+00:00,94957.28
2024-12-31 16:30:00+00:00,94961.06
2024-12-31 16:36:00+00:00,94854.54
2024-12-31 16:37:00+00:00,94824.01
2024-12-31 16:39:00+00:00,94865.58
2024-12-31 16:40:00+00:00,94885.85
2024-12-31 16:43:00+00:00,94839.94
2024-12-31 16:44:00+00:00,94858.94
2024-12-31 16:45:00+00:00,94860.5
2024-12-31 16:46:00+00:00,94897.93
2024-12-31 16:47:00+00:00,94876.83
2024-12-31 16:48:00+00:00,94907.02
2024-12-31 16:49:00+00:00,94919.85
2024-12-31 16:50:00+00:00,94979.44
2024-12-31 16:51:00+00:00,94980.27
2024-12-31 16:52:00+00:00,94974.09
2024-12-31 16:53:00+00:00,94948.06
2024-12-31 16:54:00+00:00,94903.65
2024-12-31 16:55:00+00:00,94927.1
2024-12-31 16:56:00+00:00,94940.02
2024-12-31 16:57:00+00:00,94904.63
2024-12-31 16:58:00+00:00,94848.48
2024-12-31 16:59:00+00:00,94868.42
2024-12-31 17:00:00+00:00,94875.24
2024-12-31 17:03:00+00:00,94853.18
2024-12-31 17:04:00+00:00,94817.36
2024-12-31 17:05:00+00:00,94846.49
2024-12-31 17:08:00+00:00,94808.8
2024-12-31 17:09:00+00:00,94909.1
2024-12-31 17:10:00+00:00,95044.42
2024-12-31 17:11:00+00:00,95011.78
2024-12-31 17:12:00+00:00,94941.22
2024-12-31 17:13:00+00:00,94969.69
2024-12-31 17:14:00+00:00,94949.41
2024-12-31 17:15:00+00:00,94898.26
2024-12-31 17:16:00+00:00,94912.07
2024-12-31 17:17:00+00:00,94866.88
2024-12-31 17:18:00+00:00,94911.87
2024-12-31 17:19:00+00:00,94894.03
2024-12-31 17:20:00+00:00,94853.03
2024-12-31 17:21:00+00:00,94757.57
2024-12-31 17:22:00+00:00,94727.28
2024-12-31 17:23:00+00:00,94643.42
2024-12-31 17:24:00+00:00,94626.92
2024-12-31 17:25:00+00:00,94686.2
2024-12-31 17:26:00+00:00,94625.14
2024-12-31 17:27:00+00:00,94646.1
2024-12-31 17:28:00+00:00,94501.01
2024-12-31 17:29:00+00:00,94538.08
2024-12-31 17:30:00+00:00,94506.0
2024-12-31 17:31:00+00:00,94473.69
2024-12-31 17:32:00+00:00,94184.11
2024-12-31 17:33:00+00:00,94182.39
2024-12-31 17:58:00+00:00,94158.28
2024-12-31 17:59:00+00:00,94120.94
2024-12-31 18:01:00+00:00,94134.8
2024-12-31 18:02:00+00:00,94141.01
2024-12-31 18:06:00+00:00,94240.04
2024-12-31 18:07:00+00:00,94356.0
2024-12-31 18:08:00+00:00,94283.9
2024-12-31 18:09:00+00:00,94306.58
2024-12-31 18:10:00+00:00,94270.03
2024-12-31 18:11:00+00:00,94208.0
2024-12-31 18:12:00+00:00,94238.17
2024-12-31 18:13:00+00:00,94181.0
2024-12-31 18:14:00+00:00,94198.99
2024-12-31 18:15:00+00:00,94169.88
2024-12-31 18:16:00+00:00,94233.82
2024-12-31 18:17:00+00:00,94258.72
2024-12-31 18:18:00+00:00,94242.41
2024-12-31 18:19:00+00:00,94185.57
2024-12-31 18:20:00+00:00,94105.11
2024-12-31 18:30:00+00:00,94047.86
